Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
S01004167,All people,669,8,594,2,31,31,1,2,26,5
,0 to 15,106,8,86,0,5,7,0,0,3,1
,16 to 19,17,0,15,0,2,0,0,0,4,0
,20 to 24,44,0,34,0,7,2,1,0,2,0
,25 to 34,56,0,36,0,4,15,0,1,5,0
,35 to 49,152,0,144,0,2,5,0,1,6,3
,50 to 64,127,0,119,0,6,2,0,0,2,1
,65 to 74,81,0,76,2,3,0,0,0,4,0
,75 and over,86,0,84,0,2,0,0,0,0,0
S01004168,All people,621,5,562,0,30,21,1,2,41,13
,0 to 15,112,5,97,0,6,4,0,0,13,1
,16 to 19,38,0,29,0,8,1,0,0,0,2
,20 to 24,44,0,35,0,8,1,0,0,7,0
,25 to 34,82,0,71,0,3,8,0,0,15,3
,35 to 49,129,0,117,0,4,6,0,2,5,2
,50 to 64,121,0,119,0,1,1,0,0,1,5
,65 to 74,59,0,59,0,0,0,0,0,0,0
,75 and over,36,0,35,0,0,0,1,0,0,0
S01004169,All people,796,10,699,0,57,26,2,2,54,9
,0 to 15,158,10,129,0,15,4,0,0,18,1
,16 to 19,48,0,46,0,1,1,0,0,3,1
,20 to 24,67,0,49,0,8,7,1,2,6,0
,25 to 34,105,0,92,0,6,6,1,0,16,3
,35 to 49,157,0,147,0,7,3,0,0,8,4
,50 to 64,124,0,121,0,3,0,0,0,2,0
,65 to 74,59,0,56,0,1,2,0,0,0,0
,75 and over,78,0,59,0,16,3,0,0,1,0
S01004170,All people,734,13,658,5,41,12,2,3,46,6
,0 to 15,158,13,135,2,7,1,0,0,9,1
,16 to 19,32,0,29,1,1,0,0,1,5,0
,20 to 24,41,0,33,0,4,3,1,0,10,0
,25 to 34,78,0,65,1,8,2,1,1,7,1
,35 to 49,151,0,140,0,11,0,0,0,7,3
,50 to 64,123,0,111,1,7,4,0,0,3,1
,65 to 74,90,0,84,0,3,2,0,1,2,0
,75 and over,61,0,61,0,0,0,0,0,3,0
S01004171,All people,633,8,590,0,13,13,3,6,19,12
,0 to 15,109,8,98,0,3,0,0,0,1,1
,16 to 19,24,0,24,0,0,0,0,0,0,0
,20 to 24,36,0,30,0,3,1,2,0,4,1
,25 to 34,70,0,62,0,5,1,0,2,2,5
,35 to 49,172,0,163,0,0,5,1,3,6,2
,50 to 64,134,0,128,0,1,4,0,1,3,3
,65 to 74,44,0,41,0,1,2,0,0,1,0
,75 and over,44,0,44,0,0,0,0,0,2,0
S01004172,All people,756,13,683,2,51,5,2,0,62,6
,0 to 15,151,13,125,0,13,0,0,0,14,1
,16 to 19,39,0,34,0,4,0,1,0,5,0
,20 to 24,48,0,34,1,10,2,1,0,9,1
,25 to 34,95,0,82,0,13,0,0,0,13,1
,35 to 49,149,0,139,0,8,2,0,0,10,3
,50 to 64,120,0,115,1,3,1,0,0,6,0
,65 to 74,108,0,108,0,0,0,0,0,2,0
,75 and over,46,0,46,0,0,0,0,0,3,0
S01004173,All people,606,1,564,0,17,14,7,3,35,10
,0 to 15,124,1,111,0,8,2,2,0,9,1
,16 to 19,27,0,21,0,2,0,2,2,2,1
,20 to 24,47,0,43,0,2,1,1,0,2,4
,25 to 34,78,0,66,0,3,9,0,0,7,2
,35 to 49,105,0,100,0,1,1,2,1,12,2
,50 to 64,128,0,126,0,1,1,0,0,1,0
,65 to 74,67,0,67,0,0,0,0,0,2,0
,75 and over,30,0,30,0,0,0,0,0,0,0
S01004174,All people,728,4,684,3,26,8,1,2,24,14
,0 to 15,124,4,111,0,6,3,0,0,6,3
,16 to 19,52,0,48,0,3,1,0,0,2,1
,20 to 24,49,0,41,0,6,1,0,1,6,2
,25 to 34,48,0,43,0,4,0,0,1,2,6
,35 to 49,171,0,164,0,5,1,1,0,7,1
,50 to 64,145,0,141,1,1,2,0,0,0,1
,65 to 74,70,0,69,0,1,0,0,0,0,0
,75 and over,69,0,67,2,0,0,0,0,1,0
S01004175,All people,540,10,478,0,33,15,2,2,66,10
,0 to 15,84,10,65,0,6,2,1,0,35,1
,16 to 19,31,0,28,0,2,1,0,0,2,0
,20 to 24,44,0,34,0,6,3,0,1,8,1
,25 to 34,81,0,64,0,8,7,1,1,4,6
,35 to 49,125,0,117,0,6,2,0,0,13,1
,50 to 64,117,0,112,0,5,0,0,0,4,1
,65 to 74,51,0,51,0,0,0,0,0,0,0
,75 and over,7,0,7,0,0,0,0,0,0,0
S01004176,All people,632,3,597,0,8,21,3,0,23,7
,0 to 15,124,3,114,0,2,5,0,0,3,1
,16 to 19,28,0,28,0,0,0,0,0,5,2
,20 to 24,28,0,21,0,3,4,0,0,1,0
,25 to 34,51,0,45,0,0,3,3,0,4,1
,35 to 49,166,0,162,0,2,2,0,0,4,1
,50 to 64,143,0,136,0,1,6,0,0,3,1
,65 to 74,55,0,54,0,0,1,0,0,2,0
,75 and over,37,0,37,0,0,0,0,0,1,1
S01004177,All people,494,7,434,4,34,14,1,0,30,13
,0 to 15,115,7,86,2,14,6,0,0,10,4
,16 to 19,30,0,22,0,4,3,1,0,3,0
,20 to 24,26,0,23,0,2,1,0,0,5,4
,25 to 34,49,0,45,0,1,3,0,0,3,1
,35 to 49,126,0,114,2,9,1,0,0,7,1
,50 to 64,71,0,67,0,4,0,0,0,1,3
,65 to 74,48,0,48,0,0,0,0,0,1,0
,75 and over,29,0,29,0,0,0,0,0,0,0
S01004178,All people,566,2,538,2,10,14,0,0,25,5
,0 to 15,94,2,87,1,3,1,0,0,13,0
,16 to 19,30,0,26,0,0,4,0,0,1,2
,20 to 24,42,0,36,0,5,1,0,0,5,0
,25 to 34,55,0,49,1,2,3,0,0,6,2
,35 to 49,108,0,103,0,0,5,0,0,0,1
,50 to 64,117,0,117,0,0,0,0,0,0,0
,65 to 74,59,0,59,0,0,0,0,0,0,0
,75 and over,61,0,61,0,0,0,0,0,0,0
S01004179,All people,490,2,473,0,9,5,1,0,9,9
,0 to 15,71,2,66,0,3,0,0,0,4,3
,16 to 19,34,0,31,0,2,0,1,0,0,0
,20 to 24,29,0,27,0,2,0,0,0,0,1
,25 to 34,30,0,28,0,1,1,0,0,2,3
,35 to 49,103,0,99,0,0,4,0,0,3,2
,50 to 64,116,0,116,0,0,0,0,0,0,0
,65 to 74,77,0,76,0,1,0,0,0,0,0
,75 and over,30,0,30,0,0,0,0,0,0,0
S01004180,All people,900,8,834,2,34,22,0,0,25,12
,0 to 15,260,8,235,1,10,6,0,0,6,0
,16 to 19,48,0,46,0,2,0,0,0,2,3
,20 to 24,27,0,21,0,2,4,0,0,2,4
,25 to 34,79,0,63,0,11,5,0,0,2,1
,35 to 49,298,0,284,1,7,6,0,0,11,3
,50 to 64,124,0,121,0,2,1,0,0,2,0
,65 to 74,37,0,37,0,0,0,0,0,0,1
,75 and over,27,0,27,0,0,0,0,0,0,0
S01004181,All people,798,7,724,0,33,33,0,1,45,13
,0 to 15,162,7,135,0,13,7,0,0,15,0
,16 to 19,42,0,40,0,0,2,0,0,3,3
,20 to 24,37,0,29,0,7,1,0,0,9,4
,25 to 34,81,0,65,0,2,13,0,1,3,3
,35 to 49,172,0,160,0,7,5,0,0,9,3
,50 to 64,165,0,158,0,2,5,0,0,4,0
,65 to 74,99,0,99,0,0,0,0,0,1,0
,75 and over,40,0,38,0,2,0,0,0,1,0
S01004182,All people,928,14,838,3,54,16,2,1,59,16
,0 to 15,222,14,184,1,20,3,0,0,17,5
,16 to 19,48,0,42,0,4,1,1,0,7,0
,20 to 24,60,0,51,0,6,2,1,0,7,5
,25 to 34,141,0,120,0,12,8,0,1,11,2
,35 to 49,179,0,169,1,8,1,0,0,8,3
,50 to 64,139,0,136,1,1,1,0,0,7,1
,65 to 74,59,0,58,0,1,0,0,0,2,0
,75 and over,80,0,78,0,2,0,0,0,0,0
S01004183,All people,"1,056",11,978,1,37,24,1,4,56,25
,0 to 15,231,11,197,0,14,9,0,0,22,3
,16 to 19,64,0,63,0,0,0,0,1,3,4
,20 to 24,68,0,60,1,2,4,0,1,4,3
,25 to 34,95,0,86,0,4,4,1,0,10,3
,35 to 49,245,0,226,0,13,6,0,0,15,8
,50 to 64,218,0,212,0,3,1,0,2,2,2
,65 to 74,82,0,82,0,0,0,0,0,0,2
,75 and over,53,0,52,0,1,0,0,0,0,0
S01004184,All people,782,10,718,3,36,13,2,0,36,7
,0 to 15,130,10,105,1,12,2,0,0,9,2
,16 to 19,52,0,46,0,5,1,0,0,2,0
,20 to 24,55,0,49,0,4,2,0,0,6,1
,25 to 34,90,0,78,2,7,3,0,0,5,1
,35 to 49,154,0,143,0,6,3,2,0,6,1
,50 to 64,167,0,163,0,2,2,0,0,4,2
,65 to 74,76,0,76,0,0,0,0,0,1,0
,75 and over,58,0,58,0,0,0,0,0,3,0
S01004185,All people,680,9,629,0,30,11,0,1,44,12
,0 to 15,124,9,109,0,6,0,0,0,12,0
,16 to 19,42,0,36,0,4,2,0,0,2,1
,20 to 24,58,0,48,0,6,3,0,1,9,6
,25 to 34,96,0,84,0,9,3,0,0,11,3
,35 to 49,154,0,148,0,3,3,0,0,6,2
,50 to 64,145,0,143,0,2,0,0,0,2,0
,65 to 74,41,0,41,0,0,0,0,0,0,0
,75 and over,20,0,20,0,0,0,0,0,2,0
S01004186,All people,739,7,625,8,81,15,0,3,54,7
,0 to 15,140,7,97,5,31,0,0,0,15,2
,16 to 19,36,0,27,1,6,2,0,0,3,0
,20 to 24,59,0,44,0,12,2,0,1,7,3
,25 to 34,96,0,82,0,10,3,0,1,13,1
,35 to 49,131,0,113,2,14,1,0,1,7,0
,50 to 64,143,0,136,0,3,4,0,0,7,0
,65 to 74,53,0,49,0,1,3,0,0,1,1
,75 and over,81,0,77,0,4,0,0,0,1,0
S01004187,All people,696,9,645,2,31,7,0,2,32,9
,0 to 15,103,9,85,0,8,1,0,0,7,0
,16 to 19,30,0,26,0,2,2,0,0,6,1
,20 to 24,46,0,42,1,1,2,0,0,2,2
,25 to 34,67,0,58,1,7,1,0,0,7,0
,35 to 49,128,0,118,0,7,1,0,2,8,2
,50 to 64,176,0,172,0,4,0,0,0,1,4
,65 to 74,75,0,74,0,1,0,0,0,0,0
,75 and over,71,0,70,0,1,0,0,0,1,0
S01004188,All people,782,8,718,4,31,17,1,3,47,10
,0 to 15,196,8,181,0,5,2,0,0,15,3
,16 to 19,53,0,48,0,2,2,0,1,0,2
,20 to 24,48,0,42,1,2,2,0,1,10,1
,25 to 34,120,0,103,0,10,5,1,1,12,1
,35 to 49,162,0,153,0,4,5,0,0,4,3
,50 to 64,116,0,107,0,8,1,0,0,4,0
,65 to 74,48,0,45,3,0,0,0,0,0,0
,75 and over,39,0,39,0,0,0,0,0,2,0
S01004189,All people,922,12,819,3,41,39,5,3,18,18
,0 to 15,262,12,220,1,13,13,3,0,6,2
,16 to 19,63,0,61,0,2,0,0,0,0,4
,20 to 24,31,0,27,0,0,2,0,2,4,0
,25 to 34,85,0,68,0,7,8,2,0,3,9
,35 to 49,287,0,260,2,15,10,0,0,5,1
,50 to 64,143,0,135,0,3,4,0,1,0,2
,65 to 74,39,0,36,0,1,2,0,0,0,0
,75 and over,12,0,12,0,0,0,0,0,0,0
S01004190,All people,821,12,738,5,40,18,2,6,48,24
,0 to 15,169,12,143,0,10,4,0,0,14,3
,16 to 19,59,0,51,2,6,0,0,0,3,6
,20 to 24,53,0,42,0,2,6,1,2,8,7
,25 to 34,105,0,80,1,16,4,0,4,10,3
,35 to 49,165,0,157,1,3,3,1,0,9,2
,50 to 64,145,0,142,1,2,0,0,0,2,3
,65 to 74,65,0,63,0,1,1,0,0,1,0
,75 and over,60,0,60,0,0,0,0,0,1,0
S01004191,All people,727,8,665,8,34,7,2,3,23,23
,0 to 15,126,8,107,3,8,0,0,0,7,2
,16 to 19,43,0,40,0,2,0,1,0,0,2
,20 to 24,42,0,33,0,8,1,0,0,2,5
,25 to 34,72,0,59,0,6,4,1,2,6,7
,35 to 49,140,0,131,4,5,0,0,0,4,5
,50 to 64,164,0,158,1,3,1,0,1,1,2
,65 to 74,77,0,76,0,1,0,0,0,1,0
,75 and over,63,0,61,0,1,1,0,0,2,0
S01004192,All people,"1,043",14,834,7,162,20,1,5,54,21
,0 to 15,244,14,166,2,55,7,0,0,17,1
,16 to 19,57,0,43,0,11,3,0,0,9,1
,20 to 24,76,0,47,2,21,2,0,4,6,3
,25 to 34,140,0,103,2,28,6,0,1,10,4
,35 to 49,210,0,182,0,26,1,1,0,4,6
,50 to 64,195,0,178,1,16,0,0,0,4,4
,65 to 74,66,0,62,0,4,0,0,0,2,2
,75 and over,55,0,53,0,1,1,0,0,2,0
S01004193,All people,690,8,617,0,40,19,1,5,26,12
,0 to 15,108,8,85,0,12,3,0,0,3,2
,16 to 19,45,0,37,0,8,0,0,0,3,0
,20 to 24,34,0,27,0,5,0,0,2,7,1
,25 to 34,73,0,58,0,4,9,1,1,5,3
,35 to 49,145,0,131,0,11,3,0,0,4,2
,50 to 64,148,0,143,0,0,3,0,2,2,3
,65 to 74,91,0,90,0,0,1,0,0,0,1
,75 and over,46,0,46,0,0,0,0,0,2,0
S01004194,All people,739,8,652,5,49,14,1,10,60,8
,0 to 15,127,8,100,0,18,0,0,1,14,0
,16 to 19,28,0,28,0,0,0,0,0,3,2
,20 to 24,43,0,30,2,6,3,0,2,10,1
,25 to 34,78,0,60,1,11,3,1,2,14,4
,35 to 49,130,0,115,0,11,2,0,2,12,0
,50 to 64,173,0,165,0,1,5,0,2,4,1
,65 to 74,83,0,81,0,1,1,0,0,0,0
,75 and over,77,0,73,2,1,0,0,1,3,0
S01004195,All people,638,7,577,3,33,16,1,1,26,19
,0 to 15,135,7,112,0,14,2,0,0,6,3
,16 to 19,39,0,39,0,0,0,0,0,4,3
,20 to 24,40,0,26,2,7,4,0,1,6,6
,25 to 34,62,0,49,0,6,6,1,0,1,4
,35 to 49,137,0,129,0,4,4,0,0,8,2
,50 to 64,108,0,105,1,2,0,0,0,1,1
,65 to 74,58,0,58,0,0,0,0,0,0,0
,75 and over,59,0,59,0,0,0,0,0,0,0
S01004196,All people,615,7,548,6,38,15,1,0,43,10
,0 to 15,107,7,86,2,10,2,0,0,16,0
,16 to 19,32,0,29,1,2,0,0,0,2,3
,20 to 24,52,0,40,0,6,5,1,0,3,1
,25 to 34,71,0,55,1,9,6,0,0,9,5
,35 to 49,135,0,129,0,5,1,0,0,9,1
,50 to 64,130,0,122,2,5,1,0,0,3,0
,65 to 74,48,0,48,0,0,0,0,0,1,0
,75 and over,40,0,39,0,1,0,0,0,0,0
S01004197,All people,697,6,612,9,37,28,5,0,65,14
,0 to 15,145,6,113,5,12,8,1,0,27,3
,16 to 19,49,0,47,0,2,0,0,0,4,0
,20 to 24,42,0,31,0,6,3,2,0,3,0
,25 to 34,87,0,65,3,7,11,1,0,10,6
,35 to 49,160,0,147,1,7,4,1,0,12,5
,50 to 64,110,0,107,0,1,2,0,0,4,0
,65 to 74,39,0,37,0,2,0,0,0,1,0
,75 and over,65,0,65,0,0,0,0,0,4,0
S01004198,All people,578,6,490,1,34,39,6,2,11,20
,0 to 15,82,6,65,0,8,3,0,0,1,3
,16 to 19,11,0,10,0,0,1,0,0,0,2
,20 to 24,26,0,14,0,8,3,1,0,1,2
,25 to 34,56,0,37,0,8,6,3,2,2,7
,35 to 49,101,0,93,0,3,5,0,0,2,1
,50 to 64,179,0,163,1,2,11,2,0,2,5
,65 to 74,52,0,51,0,1,0,0,0,1,0
,75 and over,71,0,57,0,4,10,0,0,2,0
S01004199,All people,780,9,733,1,22,11,1,3,31,10
,0 to 15,115,9,101,0,2,2,0,1,6,0
,16 to 19,32,0,32,0,0,0,0,0,2,0
,20 to 24,30,0,22,0,5,1,1,1,3,6
,25 to 34,69,0,60,0,5,4,0,0,8,3
,35 to 49,177,0,167,0,6,3,0,1,7,1
,50 to 64,172,0,168,1,2,1,0,0,1,0
,65 to 74,98,0,96,0,2,0,0,0,2,0
,75 and over,87,0,87,0,0,0,0,0,2,0
S01004200,All people,719,7,675,0,9,18,5,5,32,10
,0 to 15,111,7,91,0,3,6,1,3,6,1
,16 to 19,33,0,33,0,0,0,0,0,4,3
,20 to 24,39,0,36,0,0,3,0,0,4,3
,25 to 34,60,0,54,0,3,1,1,1,9,1
,35 to 49,133,0,124,0,2,3,3,1,6,1
,50 to 64,242,0,236,0,1,5,0,0,2,1
,65 to 74,68,0,68,0,0,0,0,0,0,0
,75 and over,33,0,33,0,0,0,0,0,1,0
S01004201,All people,715,6,675,5,16,11,1,1,20,18
,0 to 15,112,6,102,1,1,2,0,0,8,5
,16 to 19,32,0,29,0,3,0,0,0,3,0
,20 to 24,27,0,23,0,3,0,0,1,1,3
,25 to 34,72,0,67,0,3,2,0,0,5,5
,35 to 49,158,0,146,2,6,3,1,0,2,0
,50 to 64,146,0,143,2,0,1,0,0,0,5
,65 to 74,100,0,98,0,0,2,0,0,1,0
,75 and over,68,0,67,0,0,1,0,0,0,0
S01004202,All people,523,2,504,0,6,7,1,3,17,11
,0 to 15,79,2,73,0,2,0,0,2,4,3
,16 to 19,27,0,27,0,0,0,0,0,1,0
,20 to 24,17,0,16,0,0,0,1,0,2,1
,25 to 34,42,0,39,0,0,3,0,0,4,4
,35 to 49,98,0,92,0,2,3,0,1,4,1
,50 to 64,135,0,132,0,2,1,0,0,0,1
,65 to 74,87,0,87,0,0,0,0,0,2,1
,75 and over,38,0,38,0,0,0,0,0,0,0
S01004203,All people,955,5,875,8,39,27,0,1,35,12
,0 to 15,165,5,142,3,11,4,0,0,4,2
,16 to 19,42,0,40,0,2,0,0,0,1,0
,20 to 24,65,0,51,2,5,6,0,1,8,2
,25 to 34,82,0,66,2,6,8,0,0,4,4
,35 to 49,211,0,199,0,7,5,0,0,9,0
,50 to 64,212,0,202,1,5,4,0,0,4,4
,65 to 74,92,0,90,0,2,0,0,0,0,0
,75 and over,86,0,85,0,1,0,0,0,5,0
S01004204,All people,668,9,630,0,13,14,0,2,16,8
,0 to 15,90,9,73,0,4,4,0,0,3,0
,16 to 19,25,0,24,0,1,0,0,0,1,1
,20 to 24,19,0,18,0,1,0,0,0,1,0
,25 to 34,41,0,33,0,3,4,0,1,5,5
,35 to 49,125,0,117,0,4,4,0,0,3,1
,50 to 64,159,0,159,0,0,0,0,0,0,0
,65 to 74,137,0,137,0,0,0,0,0,1,0
,75 and over,72,0,69,0,0,2,0,1,2,1
S01004205,All people,758,8,705,5,24,12,1,3,29,22
,0 to 15,153,8,135,1,6,3,0,0,1,3
,16 to 19,50,0,48,0,0,0,0,2,2,3
,20 to 24,54,0,51,0,1,0,1,1,4,4
,25 to 34,74,0,67,0,4,3,0,0,4,3
,35 to 49,138,0,127,2,6,3,0,0,8,7
,50 to 64,136,0,134,0,2,0,0,0,7,2
,65 to 74,83,0,77,1,3,2,0,0,2,0
,75 and over,70,0,66,1,2,1,0,0,1,0
S01004206,All people,636,4,594,1,9,19,5,4,25,16
,0 to 15,83,4,76,0,0,2,0,1,8,2
,16 to 19,21,0,20,0,0,1,0,0,0,2
,20 to 24,20,0,16,0,3,1,0,0,7,2
,25 to 34,50,0,41,0,1,4,3,1,5,3
,35 to 49,115,0,111,0,0,4,0,0,2,3
,50 to 64,182,0,173,0,1,4,2,2,0,0
,65 to 74,71,0,71,0,0,0,0,0,1,1
,75 and over,94,0,86,1,4,3,0,0,2,3
S01004207,All people,705,7,644,1,43,10,0,0,30,7
,0 to 15,140,7,109,0,19,5,0,0,7,0
,16 to 19,38,0,36,0,0,2,0,0,1,2
,20 to 24,65,0,57,1,5,2,0,0,9,1
,25 to 34,92,0,78,0,14,0,0,0,5,1
,35 to 49,143,0,137,0,5,1,0,0,5,0
,50 to 64,140,0,140,0,0,0,0,0,3,3
,65 to 74,47,0,47,0,0,0,0,0,0,0
,75 and over,40,0,40,0,0,0,0,0,0,0
S01004208,All people,851,8,780,4,15,35,7,2,37,27
,0 to 15,174,8,150,2,4,8,2,0,16,3
,16 to 19,43,0,41,0,1,1,0,0,1,6
,20 to 24,40,0,33,0,1,4,0,2,8,5
,25 to 34,84,0,72,0,2,7,3,0,2,5
,35 to 49,229,0,216,2,2,8,1,0,8,5
,50 to 64,159,0,151,0,2,5,1,0,2,1
,65 to 74,69,0,67,0,0,2,0,0,0,2
,75 and over,53,0,50,0,3,0,0,0,0,0
S01004209,All people,605,4,536,0,35,23,6,1,27,19
,0 to 15,91,4,82,0,4,1,0,0,5,1
,16 to 19,24,0,24,0,0,0,0,0,0,3
,20 to 24,25,0,20,0,3,1,0,1,0,1
,25 to 34,44,0,34,0,1,7,2,0,10,5
,35 to 49,144,0,132,0,6,5,1,0,6,6
,50 to 64,143,0,135,0,3,2,3,0,3,3
,65 to 74,52,0,49,0,3,0,0,0,2,0
,75 and over,82,0,60,0,15,7,0,0,1,0
S01004210,All people,611,1,549,3,32,17,3,6,29,15
,0 to 15,66,1,58,0,5,2,0,0,6,1
,16 to 19,27,0,21,1,5,0,0,0,0,0
,20 to 24,27,0,20,0,2,1,0,4,2,3
,25 to 34,47,0,35,1,2,7,0,2,4,3
,35 to 49,95,0,83,0,6,5,1,0,8,2
,50 to 64,166,0,163,0,3,0,0,0,3,3
,65 to 74,82,0,80,0,2,0,0,0,3,2
,75 and over,101,0,89,1,7,2,2,0,3,1
S01004211,All people,"1,102",12,956,1,54,67,7,5,19,38
,0 to 15,206,12,178,0,9,6,0,1,3,4
,16 to 19,37,0,33,0,3,1,0,0,3,5
,20 to 24,40,0,28,1,6,3,2,0,5,8
,25 to 34,129,0,99,0,7,17,3,3,8,7
,35 to 49,267,0,230,0,17,19,1,0,0,5
,50 to 64,208,0,201,0,2,4,1,0,0,9
,65 to 74,100,0,93,0,2,5,0,0,0,0
,75 and over,115,0,94,0,8,12,0,1,0,0
S01004212,All people,"1,670",32,"1,460",1,77,87,9,4,44,49
,0 to 15,346,32,281,0,19,14,0,0,9,7
,16 to 19,76,0,70,0,2,2,2,0,1,10
,20 to 24,92,0,62,0,13,14,1,2,8,6
,25 to 34,199,0,151,1,19,26,1,1,5,5
,35 to 49,458,0,417,0,16,23,1,1,7,14
,50 to 64,313,0,298,0,6,7,2,0,7,7
,65 to 74,118,0,115,0,0,1,2,0,3,0
,75 and over,68,0,66,0,2,0,0,0,4,0
S01004213,All people,530,1,493,3,4,23,2,4,20,19
,0 to 15,22,1,17,0,0,4,0,0,4,0
,16 to 19,15,0,14,1,0,0,0,0,1,0
,20 to 24,12,0,9,0,0,2,0,1,1,2
,25 to 34,33,0,27,1,0,5,0,0,2,2
,35 to 49,82,0,76,0,0,5,0,1,3,4
,50 to 64,212,0,198,1,4,7,0,2,3,3
,65 to 74,108,0,106,0,0,0,2,0,4,3
,75 and over,46,0,46,0,0,0,0,0,2,5
S01004214,All people,637,2,620,0,8,7,0,0,7,14
,0 to 15,76,2,72,0,2,0,0,0,1,0
,16 to 19,18,0,18,0,0,0,0,0,0,3
,20 to 24,31,0,29,0,0,2,0,0,1,4
,25 to 34,25,0,23,0,2,0,0,0,2,4
,35 to 49,109,0,104,0,4,1,0,0,2,1
,50 to 64,193,0,189,0,0,4,0,0,0,1
,65 to 74,106,0,106,0,0,0,0,0,0,1
,75 and over,79,0,79,0,0,0,0,0,1,0
S01004215,All people,615,6,566,0,19,22,1,1,10,28
,0 to 15,120,6,106,0,5,3,0,0,0,7
,16 to 19,30,0,29,0,1,0,0,0,1,5
,20 to 24,29,0,20,0,4,4,0,1,0,3
,25 to 34,27,0,18,0,2,7,0,0,2,4
,35 to 49,141,0,133,0,3,5,0,0,1,4
,50 to 64,140,0,136,0,2,2,0,0,0,3
,65 to 74,52,0,51,0,1,0,0,0,2,0
,75 and over,76,0,73,0,1,1,1,0,4,2
S01004216,All people,807,4,760,1,29,13,0,0,32,17
,0 to 15,116,4,105,0,7,0,0,0,9,0
,16 to 19,48,0,41,0,6,1,0,0,1,2
,20 to 24,55,0,50,0,3,2,0,0,2,3
,25 to 34,55,0,47,0,2,6,0,0,8,7
,35 to 49,154,0,147,0,5,2,0,0,4,2
,50 to 64,269,0,268,0,0,1,0,0,4,3
,65 to 74,66,0,64,0,1,1,0,0,0,0
,75 and over,44,0,38,1,5,0,0,0,4,0
S01004217,All people,447,6,394,1,28,13,1,4,19,4
,0 to 15,67,6,56,0,4,0,1,0,6,0
,16 to 19,19,0,14,0,3,2,0,0,2,1
,20 to 24,35,0,23,0,8,4,0,0,1,0
,25 to 34,58,0,46,1,3,4,0,4,5,0
,35 to 49,104,0,101,0,3,0,0,0,2,0
,50 to 64,103,0,95,0,5,3,0,0,1,1
,65 to 74,41,0,39,0,2,0,0,0,1,2
,75 and over,20,0,20,0,0,0,0,0,1,0
S01004218,All people,802,6,756,0,17,20,2,1,32,6
,0 to 15,134,6,116,0,6,5,1,0,6,1
,16 to 19,33,0,32,0,1,0,0,0,3,0
,20 to 24,42,0,37,0,2,2,1,0,5,3
,25 to 34,74,0,57,0,6,10,0,1,7,0
,35 to 49,167,0,163,0,2,2,0,0,7,2
,50 to 64,166,0,165,0,0,1,0,0,2,0
,65 to 74,101,0,101,0,0,0,0,0,0,0
,75 and over,85,0,85,0,0,0,0,0,2,0
S01004219,All people,508,3,484,1,14,5,0,1,19,6
,0 to 15,92,3,85,0,2,2,0,0,7,2
,16 to 19,26,0,24,0,2,0,0,0,1,0
,20 to 24,35,0,30,0,4,0,0,1,2,0
,25 to 34,54,0,49,1,3,1,0,0,2,4
,35 to 49,124,0,119,0,3,2,0,0,7,0
,50 to 64,127,0,127,0,0,0,0,0,0,0
,65 to 74,29,0,29,0,0,0,0,0,0,0
,75 and over,21,0,21,0,0,0,0,0,0,0
S01004220,All people,903,7,824,3,32,20,7,10,22,15
,0 to 15,157,7,138,0,4,1,2,5,2,0
,16 to 19,33,0,28,0,4,1,0,0,1,3
,20 to 24,22,0,15,0,5,2,0,0,5,2
,25 to 34,73,0,56,0,4,8,1,4,7,1
,35 to 49,179,0,166,1,8,2,2,0,2,6
,50 to 64,182,0,175,2,3,0,1,1,0,2
,65 to 74,161,0,157,0,2,2,0,0,0,1
,75 and over,96,0,89,0,2,4,1,0,5,0
S01004221,All people,783,5,741,0,27,7,3,0,43,13
,0 to 15,130,5,109,0,13,3,0,0,10,2
,16 to 19,34,0,34,0,0,0,0,0,3,2
,20 to 24,39,0,34,0,4,0,1,0,7,2
,25 to 34,75,0,70,0,3,2,0,0,15,1
,35 to 49,165,0,158,0,5,2,0,0,6,4
,50 to 64,180,0,177,0,1,0,2,0,0,1
,65 to 74,107,0,106,0,1,0,0,0,0,0
,75 and over,53,0,53,0,0,0,0,0,2,1
S01004222,All people,569,7,488,6,49,15,1,3,44,10
,0 to 15,59,7,44,0,8,0,0,0,9,0
,16 to 19,23,0,15,0,7,1,0,0,3,0
,20 to 24,39,0,26,2,7,4,0,0,4,0
,25 to 34,94,0,73,1,12,6,0,2,13,5
,35 to 49,141,0,128,2,9,1,0,1,6,4
,50 to 64,104,0,98,1,2,3,0,0,6,1
,65 to 74,49,0,48,0,1,0,0,0,3,0
,75 and over,60,0,56,0,3,0,1,0,0,0
S01004223,All people,722,8,627,3,44,36,3,1,75,17
,0 to 15,182,8,151,0,10,12,1,0,21,4
,16 to 19,52,0,46,0,6,0,0,0,10,1
,20 to 24,58,0,41,2,12,3,0,0,10,6
,25 to 34,91,0,73,0,6,11,0,1,13,3
,35 to 49,145,0,130,1,5,8,1,0,14,1
,50 to 64,112,0,106,0,4,1,1,0,6,2
,65 to 74,48,0,47,0,0,1,0,0,0,0
